rows,studytime_hours,goout_hours,G3
0,4.9,19.6,60.1
1,8.0,3.4,99.6
2,0.7,5.7,62.8
3,1.7,27.1,18.0
4,8.5,18.6,66.7
5,1.9,1.3,70.2
6,6.1,3.9,67.8
7,0.8,20.2,61.1
8,3.6,1.1,82.7
9,2.9,5.7,61.0
10,5.7,16.9,48.2
11,3.1,21.1,43.6
12,4.4,19.9,37.6
13,1.2,7.5,64.9
14,2.1,21.7,25.1
15,5.9,7.9,69.2
16,1.8,10.4,55.2
17,18.1,22.6,93.9
18,2.3,19.8,34.7
19,7.2,25.6,49.5
20,1.2,20.1,24.1
21,1.8,17.5,38.4
22,4.0,3.7,73.6
23,3.6,11.7,61.3
24,2.6,8.7,69.8
25,17.8,8.1,100.0
26,18.9,29.2,83.9
27,4.8,12.4,68.1
28,0.8,26.9,34.6
29,1.0,19.3,39.7
30,2.8,24.0,59.7
31,6.8,15.6,64.7
32,3.6,17.7,55.2
33,1.6,15.3,51.8
34,1.9,6.7,76.4
35,6.0,22.0,59.4
36,1.6,9.1,56.9
37,8.6,1.7,99.9
38,5.4,19.7,55.5
39,2.3,6.1,72.8
40,8.1,28.3,57.5
41,2.2,28.7,22.4
42,3.0,27.5,46.0
43,8.2,11.7,62.2
44,7.4,1.4,74.9
45,1.5,27.9,0.8
46,7.8,13.4,64.7
47,7.5,29.0,43.7
48,3.3,28.9,49.8
49,0.7,25.7,40.6
50,1.4,9.5,63.3
51,3.5,12.2,47.4
52,12.5,25.7,64.8
53,4.3,10.2,56.1
54,2.2,5.9,64.5
55,2.5,17.1,47.5
56,18.1,28.1,75.7
57,9.4,21.2,68.9
58,5.9,17.5,60.6
59,7.7,3.8,91.6
60,9.5,18.8,79.7
61,2.3,29.7,18.6
62,3.3,5.1,60.2
63,9.3,16.0,64.9
64,1.2,26.4,18.3
65,2.7,22.5,50.9
66,1.0,21.2,33.5
67,13.2,21.4,85.9
68,4.1,11.4,57.6
69,4.9,9.5,52.1
70,12.5,24.5,78.6
71,2.9,24.5,17.1
72,2.1,26.1,40.2
73,7.5,27.5,34.1
74,0.9,15.8,57.5
75,12.4,15.5,75.6
76,1.2,24.2,38.4
77,12.4,19.8,72.5
78,8.8,21.4,58.4
79,4.2,24.1,40.7
80,3.9,26.8,39.0
81,7.7,10.8,81.1
82,1.7,11.9,47.5
83,2.6,3.7,61.3
84,1.3,17.8,38.5
85,5.1,2.0,59.6
86,2.7,14.5,44.9
87,5.9,16.7,72.2
88,6.9,9.3,85.3
89,11.4,18.1,75.4
90,2.3,1.9,72.5
91,18.8,2.1,100.0
92,4.0,24.9,72.0
93,7.8,11.4,90.2
94,2.7,4.7,62.5
95,1.8,16.1,41.7
96,16.3,23.3,84.8
97,3.0,7.3,66.2
98,9.5,19.1,59.3
99,8.9,3.5,79.1
